、,1295,1295,9558,名詞,数,*,*,*,*,、,、,、,*/*,*
．,1295,1295,6552,名詞,数,*,*,*,*,．,．,．,1/1,*
百,1295,1295,2604,名詞,数,*,*,*,*,百,ヒャク,ヒャク,2/2,C3
五,1295,1295,3630,名詞,数,*,*,*,*,五,ゴ,ゴ,1/1,C3
数,1295,1295,6512,名詞,数,*,*,*,*,数,スウ,スー,1/2,C3
５,1295,1295,3370,名詞,数,*,*,*,*,５,ゴ,ゴ,1/1,C3
八,1295,1295,3615,名詞,数,*,*,*,*,八,ハチ,ハチ,2/2,C3
ひゃく,1295,1295,7892,名詞,数,*,*,*,*,ひゃく,ヒャク,ヒャク,0/3,*
・,1295,1295,4640,名詞,数,*,*,*,*,・,・,・,1/1,*
兆,1295,1295,5558,名詞,数,*,*,*,*,兆,チョウ,チョー,0/3,*
９,1295,1295,5548,名詞,数,*,*,*,*,９,キュウ,キュー,1/2,C3
七,1295,1295,2984,名詞,数,*,*,*,*,七,ナナ,ナナ,2/2,C3
三,1295,1295,2725,名詞,数,*,*,*,*,三,サン,サン,0/2,C3
０,1295,1295,3958,名詞,数,*,*,*,*,０,ゼロ,ゼロ,1/2,C3
０,1295,1295,11304,名詞,数,*,*,*,*,０,レイ,レイ,1/2,C3
万,1295,1295,3465,名詞,数,*,*,*,*,万,マン,マン,1/2,C3
零,1295,1295,4015,名詞,数,*,*,*,*,零,レイ,レイ,1/2,C3
四,1295,1295,3594,名詞,数,*,*,*,*,四,ヨン,ヨン,0/2,*
７,1295,1295,4523,名詞,数,*,*,*,*,７,ナナ,ナナ,1/2,C3
２,1295,1295,4506,名詞,数,*,*,*,*,２,ニ,ニ,1/1,C3
４,1295,1295,4471,名詞,数,*,*,*,*,４,ヨン,ヨン,1/2,C1
１,1295,1295,3247,名詞,数,*,*,*,*,１,イチ,イチ,2/2,C3
余,1295,1295,8975,名詞,数,*,*,*,*,余,ヨ,ヨ,1/1,C3
半,1295,1295,10968,名詞,数,*,*,*,*,半,ハン,ハン,1/2,C1
ゼロ,1295,1295,2270,名詞,数,*,*,*,*,ゼロ,ゼロ,ゼロ,0/2,*
６,1295,1295,3850,名詞,数,*,*,*,*,６,ロク,ロク,2/2,C3
ひと,1295,1295,7352,名詞,数,*,*,*,*,ひと,ヒト,ヒト,0/2,C3
〇,1295,1295,3596,名詞,数,*,*,*,*,〇,レイ,レイ,0/2,*
何,1295,1295,6232,名詞,数,*,*,*,*,何,ナン,ナン,0/2,*
幾,1295,1295,7482,名詞,数,*,*,*,*,幾,イク,イク,0/2,*
十,1295,1295,2874,名詞,数,*,*,*,*,十,ジュウ,ジュー,1/2,C3
十,1295,1295,2874,名詞,数,*,*,*,*,十,ジュウ,ジュッ,1/2,C3
六,1295,1295,2464,名詞,数,*,*,*,*,六,ロク,ロク,2/2,C3
いく,1295,1295,9698,名詞,数,*,*,*,*,いく,イク,イク,1/2,C3
８,1295,1295,4324,名詞,数,*,*,*,*,８,ハチ,ハチ,2/2,C3
３,1295,1295,4172,名詞,数,*,*,*,*,３,サン,サン,0/2,C3
二,1295,1295,2914,名詞,数,*,*,*,*,二,ニ,ニ,1/1,C3
○,1295,1295,6085,名詞,数,*,*,*,*,○,レイ,レイ,1/2,C3
，,1295,1295,5080,名詞,数,*,*,*,*,，,，,，,*/*,*
千,1295,1295,4767,名詞,数,*,*,*,*,千,セン,セン,1/2,C3
一,1295,1295,3485,名詞,数,*,*,*,*,一,イチ,イチ,2/2,C3
億,1295,1295,2463,名詞,数,*,*,*,*,億,オク,オク,0/2,*
九,1295,1295,4108,名詞,数,*,*,*,*,九,キュウ,キュー,1/2,C3
